Name,WH HDG.CAYMAN ISL. 2004 9 1/2% 01/04/11 144A S - GROSS PRICE
7/06/2006,109.1236
8/06/2006,109.15
9/06/2006,109.1764
12/06/2006,109.2028
13/06/2006,109.2291
14/06/2006,109.3083
15/06/2006,109.3347
16/06/2006,109.3611
19/06/2006,109.3875
20/06/2006,109.4139
21/06/2006,109.493
22/06/2006,109.5194
23/06/2006,109.5458
26/06/2006,109.5722
27/06/2006,109.5986
28/06/2006,109.6777
29/06/2006,109.7041
30/06/2006,109.7305
3/07/2006,109.7569
4/07/2006,109.7833
5/07/2006,109.8625
6/07/2006,109.8889
7/07/2006,109.9153
10/07/2006,109.9417
11/07/2006,109.968
12/07/2006,110.0472
13/07/2006,110.0736
14/07/2006,110.1
17/07/2006,110.1264
18/07/2006,110.1528
19/07/2006,110.2319
20/07/2006,110.2583
21/07/2006,110.2847
24/07/2006,110.3111
25/07/2006,110.3375
26/07/2006,110.3903
27/07/2006,110.4166
28/07/2006,110.443
31/07/2006,110.4694
1/08/2006,110.4958
2/08/2006,110.575
3/08/2006,110.6014
4/08/2006,110.6278
7/08/2006,110.6541
8/08/2006,110.6805
9/08/2006,110.7597
10/08/2006,110.7861
11/08/2006,110.8125
14/08/2006,110.8389
15/08/2006,110.8652
16/08/2006,110.9444
17/08/2006,110.9708
18/08/2006,110.9972
21/08/2006,111.0236
22/08/2006,111.05
23/08/2006,111.1292
24/08/2006,111.1555
25/08/2006,111.1819
28/08/2006,111.1819
29/08/2006,111.2083
30/08/2006,111.2875
31/08/2006,111.3139
1/09/2006,111.3403
4/09/2006,111.3666
5/09/2006,111.393
6/09/2006,111.4722
7/09/2006,111.4986
8/09/2006,111.525
11/09/2006,111.5514
12/09/2006,111.5778
13/09/2006,111.6569
14/09/2006,111.6833
15/09/2006,111.7097
18/09/2006,111.7361
19/09/2006,111.7625
20/09/2006,111.8416
21/09/2006,111.868
22/09/2006,111.8944
25/09/2006,111.9208
26/09/2006,111.9472
27/09/2006,107.2764
28/09/2006,107.3027
29/09/2006,107.3291
2/10/2006,107.3555
3/10/2006,107.3819
4/10/2006,107.4611
5/10/2006,107.4875
6/10/2006,107.5139
9/10/2006,107.5403
10/10/2006,107.5667
11/10/2006,107.6458
12/10/2006,107.6722
13/10/2006,107.6986
16/10/2006,107.725
17/10/2006,107.7514
18/10/2006,107.8305
19/10/2006,107.8569
20/10/2006,107.8833
23/10/2006,107.9097
24/10/2006,107.9361
25/10/2006,108.0153
26/10/2006,108.0153
27/10/2006,108.0416
30/10/2006,108.068
31/10/2006,108.0944
1/11/2006,108.1736
2/11/2006,108.2
3/11/2006,108.2264
6/11/2006,108.2528
7/11/2006,108.2791
8/11/2006,108.3583
9/11/2006,108.3847
10/11/2006,108.4111
13/11/2006,108.4375
14/11/2006,108.4639
15/11/2006,108.543
16/11/2006,108.5694
17/11/2006,108.5958
20/11/2006,108.6222
21/11/2006,108.6486
22/11/2006,108.7278
23/11/2006,108.7542
24/11/2006,108.7805
27/11/2006,108.8069
28/11/2006,108.8333
29/11/2006,108.9125
30/11/2006,108.9389
1/12/2006,108.9653
4/12/2006,108.9916
5/12/2006,109.018
6/12/2006,109.0972
7/12/2006,109.1236
8/12/2006,109.15
11/12/2006,109.1764
12/12/2006,109.2028
13/12/2006,109.2819
14/12/2006,109.3083
15/12/2006,109.3347
18/12/2006,109.3611
19/12/2006,109.3875
20/12/2006,109.4666
21/12/2006,109.493
22/12/2006,109.5194
25/12/2006,109.5458
26/12/2006,109.5722
27/12/2006,109.625
28/12/2006,109.6514
29/12/2006,109.6777
1/01/2007,109.7041
2/01/2007,109.7305
3/01/2007,109.8097
4/01/2007,109.8361
5/01/2007,109.8625
8/01/2007,109.8889
9/01/2007,109.9153
10/01/2007,109.9944
11/01/2007,110.0208
12/01/2007,110.0472
15/01/2007,110.0736
16/01/2007,110.1
17/01/2007,110.1791
18/01/2007,110.2055
19/01/2007,110.2319
22/01/2007,110.2583
23/01/2007,110.2847
24/01/2007,110.3639
25/01/2007,110.3903
26/01/2007,110.3903
29/01/2007,110.4166
30/01/2007,110.443
31/01/2007,110.5222
1/02/2007,110.5486
2/02/2007,110.575
5/02/2007,110.6014
6/02/2007,110.6278
7/02/2007,110.7069
8/02/2007,110.7333
9/02/2007,110.7597
12/02/2007,110.7861
13/02/2007,110.8125
14/02/2007,110.8916
15/02/2007,110.918
16/02/2007,110.9444
19/02/2007,110.9708
20/02/2007,110.9972
21/02/2007,111.0764
22/02/2007,111.1028
23/02/2007,111.1292
26/02/2007,111.2083
27/02/2007,111.2347
28/02/2007,111.3139
1/03/2007,111.3403
2/03/2007,111.3666
5/03/2007,111.393
6/03/2007,111.4194
7/03/2007,111.4986
8/03/2007,111.525
9/03/2007,111.5514
12/03/2007,111.5778
13/03/2007,111.6041
14/03/2007,111.6833
15/03/2007,111.7097
16/03/2007,111.7361
19/03/2007,111.7625
20/03/2007,111.7889
21/03/2007,111.868
22/03/2007,111.8944
23/03/2007,111.9208
26/03/2007,111.9472
27/03/2007,111.9736
28/03/2007,107.2764
29/03/2007,107.3027
30/03/2007,107.3291
2/04/2007,107.3555
3/04/2007,107.3819
4/04/2007,107.4611
5/04/2007,107.4875
6/04/2007,107.5139
9/04/2007,107.5403
10/04/2007,107.5667
11/04/2007,107.6458
12/04/2007,107.6722
13/04/2007,107.6986
16/04/2007,107.725
17/04/2007,107.7514
18/04/2007,107.8305
19/04/2007,107.8569
20/04/2007,107.8833
23/04/2007,107.9097
24/04/2007,107.9361
25/04/2007,108.0153
26/04/2007,108.0416
27/04/2007,108.068
30/04/2007,108.0944
1/05/2007,108.1208
2/05/2007,108.2
3/05/2007,108.2264
4/05/2007,108.2528
7/05/2007,108.2791
8/05/2007,108.3055
9/05/2007,108.3847
10/05/2007,108.4111
11/05/2007,108.4375
14/05/2007,108.4639
15/05/2007,108.4902
16/05/2007,108.5694
17/05/2007,108.5958
18/05/2007,108.6222
21/05/2007,108.6486
22/05/2007,108.675
23/05/2007,108.7542
24/05/2007,108.7805
25/05/2007,108.8069
28/05/2007,108.8069
29/05/2007,108.8333
30/05/2007,108.9125
31/05/2007,108.9389
1/06/2007,108.9653
4/06/2007,108.9916
5/06/2007,109.018
6/06/2007,109.0972
7/06/2007,109.1236
8/06/2007,109.15
11/06/2007,109.1764
12/06/2007,109.2028
13/06/2007,109.2819
14/06/2007,109.3083
15/06/2007,109.3347
18/06/2007,109.3611
19/06/2007,109.3875
20/06/2007,109.4666
21/06/2007,109.493
22/06/2007,109.5194
25/06/2007,109.5458
26/06/2007,109.5722
27/06/2007,109.6514
28/06/2007,109.6777
29/06/2007,109.7041
2/07/2007,109.7305
3/07/2007,109.7569
4/07/2007,109.8361
5/07/2007,109.8625
6/07/2007,109.8889
9/07/2007,109.9153
10/07/2007,109.9417
11/07/2007,110.0208
12/07/2007,110.0472
13/07/2007,110.0736
16/07/2007,110.1
17/07/2007,110.1264
18/07/2007,110.2055
19/07/2007,110.2319
20/07/2007,110.2583
23/07/2007,110.2847
24/07/2007,110.3111
25/07/2007,110.3903
26/07/2007,110.3903
27/07/2007,110.4166
30/07/2007,110.443
31/07/2007,110.4694
1/08/2007,110.5486
2/08/2007,110.575
3/08/2007,110.6014
6/08/2007,110.6278
7/08/2007,110.6541
8/08/2007,110.7333
9/08/2007,110.7597
10/08/2007,110.7861
13/08/2007,110.8125
14/08/2007,110.8389
15/08/2007,110.918
16/08/2007,110.9444
17/08/2007,110.9708
20/08/2007,110.9972
21/08/2007,111.0236
22/08/2007,111.1028
23/08/2007,111.1292
24/08/2007,111.1555
27/08/2007,111.1819
28/08/2007,111.1819
29/08/2007,111.2611
30/08/2007,111.2875
31/08/2007,111.3139
3/09/2007,111.3403
4/09/2007,111.3666
5/09/2007,111.4458
6/09/2007,111.4722
7/09/2007,111.4986
10/09/2007,111.525
11/09/2007,111.5514
12/09/2007,111.6305
13/09/2007,111.6569
14/09/2007,111.6833
17/09/2007,111.7097
18/09/2007,111.7361
19/09/2007,111.8153
20/09/2007,111.8416
21/09/2007,111.868
24/09/2007,111.8944
25/09/2007,111.9208
26/09/2007,107.25
27/09/2007,107.2764
28/09/2007,107.3027
1/10/2007,107.3291
2/10/2007,107.3555
3/10/2007,107.4347
4/10/2007,107.4611
5/10/2007,107.4875
8/10/2007,107.5139
9/10/2007,107.5403
10/10/2007,107.6194
11/10/2007,107.6458
12/10/2007,107.6722
15/10/2007,107.6986
16/10/2007,107.725
17/10/2007,107.8041
18/10/2007,107.8305
19/10/2007,107.8569
22/10/2007,107.8833
23/10/2007,107.9097
24/10/2007,107.9889
25/10/2007,108.0153
26/10/2007,108.0153
29/10/2007,108.0416
30/10/2007,108.068
31/10/2007,108.1472
1/11/2007,108.1736
2/11/2007,108.2
5/11/2007,108.2264
6/11/2007,108.2528
7/11/2007,108.3319
8/11/2007,108.3583
9/11/2007,108.3847
12/11/2007,108.4111
13/11/2007,108.4375
14/11/2007,108.5166
15/11/2007,108.543
16/11/2007,108.5694
19/11/2007,108.5958
20/11/2007,108.6222
21/11/2007,108.7014
22/11/2007,108.7278
23/11/2007,108.7542
26/11/2007,108.7805
27/11/2007,108.8069
28/11/2007,108.8861
29/11/2007,108.9125
30/11/2007,108.9389
3/12/2007,108.9653
4/12/2007,108.9916
5/12/2007,109.0708
6/12/2007,109.0972
7/12/2007,109.1236
10/12/2007,109.15
11/12/2007,109.1764
12/12/2007,109.2555
13/12/2007,109.2819
14/12/2007,109.3083
17/12/2007,109.3347
18/12/2007,109.3611
19/12/2007,109.4403
20/12/2007,109.4666
21/12/2007,109.493
24/12/2007,109.5194
25/12/2007,109.5458
26/12/2007,109.5986
27/12/2007,109.625
28/12/2007,109.6514
31/12/2007,109.6777
1/01/2008,109.7041
2/01/2008,109.7833
3/01/2008,109.8097
4/01/2008,109.8361
7/01/2008,109.8625
8/01/2008,109.8889
9/01/2008,109.968
10/01/2008,109.9944
11/01/2008,110.0208
14/01/2008,110.0472
15/01/2008,110.0736
16/01/2008,110.1528
17/01/2008,110.1791
18/01/2008,110.2055
21/01/2008,110.2319
22/01/2008,110.2583
23/01/2008,110.3375
24/01/2008,110.3639
25/01/2008,110.3903
28/01/2008,110.3903
29/01/2008,110.4166
30/01/2008,110.4958
31/01/2008,110.5222
1/02/2008,110.5486
4/02/2008,110.575
5/02/2008,110.6014
6/02/2008,110.6805
7/02/2008,110.7069
8/02/2008,110.7333
11/02/2008,110.7597
12/02/2008,110.7861
13/02/2008,110.8652
14/02/2008,110.8916
15/02/2008,110.918
18/02/2008,110.9444
19/02/2008,110.9708
20/02/2008,111.05
21/02/2008,111.0764
22/02/2008,111.1028
25/02/2008,111.1292
26/02/2008,111.1555
27/02/2008,111.2611
28/02/2008,111.2875
29/02/2008,111.3139
3/03/2008,111.3403
4/03/2008,111.3666
5/03/2008,111.4458
6/03/2008,111.4722
7/03/2008,111.4986
10/03/2008,111.525
11/03/2008,111.5514
12/03/2008,111.6305
13/03/2008,111.6569
14/03/2008,111.6833
17/03/2008,111.7097
18/03/2008,111.7361
19/03/2008,111.8153
20/03/2008,111.8416
21/03/2008,111.868
24/03/2008,111.8944
25/03/2008,111.9208
26/03/2008,111.9736
27/03/2008,107.25
28/03/2008,107.2764
31/03/2008,107.3027
1/04/2008,107.3291
2/04/2008,107.4083
3/04/2008,107.4347
4/04/2008,107.4611
7/04/2008,107.4875
8/04/2008,107.5139
9/04/2008,107.593
10/04/2008,107.6194
11/04/2008,107.6458
14/04/2008,107.6722
15/04/2008,107.6986
16/04/2008,107.7778
17/04/2008,107.8041
18/04/2008,107.8305
21/04/2008,107.8569
22/04/2008,107.8833
23/04/2008,107.9625
24/04/2008,107.9889
25/04/2008,108.0153
28/04/2008,108.0416
29/04/2008,108.068
30/04/2008,108.1472
1/05/2008,108.1736
2/05/2008,108.2
5/05/2008,108.2264
6/05/2008,108.2528
7/05/2008,108.3319
8/05/2008,108.3583
9/05/2008,108.3847
12/05/2008,108.4111
13/05/2008,108.4375
14/05/2008,108.5166
15/05/2008,108.543
16/05/2008,108.5694
19/05/2008,108.5958
20/05/2008,108.6222
21/05/2008,108.7014
22/05/2008,108.7278
23/05/2008,108.7542
26/05/2008,108.7805
27/05/2008,108.8069
28/05/2008,108.8597
29/05/2008,108.8861
30/05/2008,108.9125
2/06/2008,108.9389
3/06/2008,108.9653
4/06/2008,109.0444
5/06/2008,109.0708
6/06/2008,109.0972
9/06/2008,109.1236
10/06/2008,109.15
11/06/2008,109.2291
12/06/2008,109.2555
13/06/2008,109.2819
16/06/2008,109.3083
17/06/2008,109.3347
18/06/2008,109.4139
19/06/2008,109.4403
20/06/2008,109.4666
23/06/2008,109.493
24/06/2008,109.5194
25/06/2008,109.5986
26/06/2008,109.625
27/06/2008,109.6514
30/06/2008,109.6777
1/07/2008,109.7041
2/07/2008,109.7833
3/07/2008,109.8097
4/07/2008,109.8361
7/07/2008,109.8625
8/07/2008,109.8889
9/07/2008,109.968
10/07/2008,109.9944
11/07/2008,110.0208
14/07/2008,110.0472
15/07/2008,110.0736
16/07/2008,110.1528
17/07/2008,110.1791
18/07/2008,110.2055
21/07/2008,110.2319
22/07/2008,110.2583
23/07/2008,110.3375
24/07/2008,110.3639
25/07/2008,110.3903
28/07/2008,110.3903
29/07/2008,110.4166
30/07/2008,110.4958
31/07/2008,110.5222
1/08/2008,110.5486
4/08/2008,110.575
5/08/2008,110.6014
6/08/2008,110.6805
7/08/2008,110.7069
8/08/2008,110.7333
11/08/2008,110.7597
12/08/2008,110.7861
13/08/2008,110.8652
14/08/2008,110.8916
15/08/2008,110.918
18/08/2008,110.9444
19/08/2008,110.9708
20/08/2008,111.05
21/08/2008,111.0764
22/08/2008,111.1028
25/08/2008,111.1292
26/08/2008,111.1555
27/08/2008,111.2083
28/08/2008,111.2347
29/08/2008,111.2611
1/09/2008,111.2875
2/09/2008,111.3139
3/09/2008,111.393
4/09/2008,111.4194
5/09/2008,111.4458
8/09/2008,111.4722
9/09/2008,111.4986
10/09/2008,111.5778
11/09/2008,111.6041
12/09/2008,111.6305
